X,Y,Pressure,Time
355.557908871731,412.040864284188,0.198339,0
355.557908871731,412.040864284188,0.2242306,2
355.557908871731,412.040864284188,0.2281387,16
355.557908871731,412.040864284188,0.2281387,16
355.557908871731,412.040864284188,0.2476795,16
355.557908871731,412.040864284188,0.258427,16
355.557908871731,412.040864284188,0.2476795,17
355.557908871731,412.040864284188,0.258427,17
355.46415601062,412.040864284188,0.2598925,32
355.557908871731,412.040864284188,0.2589155,32
355.557908871731,412.040864284188,0.2589155,32
356.026673177282,412.040864284188,0.2598925,32
356.636066774499,412.040864284188,0.2642892,32
355.46415601062,412.040864284188,0.2598925,47
356.026673177282,412.040864284188,0.2598925,47
356.636066774499,412.040864284188,0.2642892,47
357.339213232826,411.935392315439,0.2696629,63
357.339213232826,411.935392315439,0.2696629,63
358.182988982818,411.566240424818,0.2794333,63
358.182988982818,411.566240424818,0.2794333,64
359.495529038362,410.854304635762,0.2896922,79
359.495529038362,410.854304635762,0.2896922,79
361.183080538347,409.588641010773,0.3043478,79
363.714407788324,407.848353526414,0.3234001,79
366.948881496628,405.47523422956,0.3400098,79
361.183080538347,409.588641010773,0.3043478,94
363.714407788324,407.848353526414,0.3234001,94
366.948881496628,405.47523422956,0.3400098,94
371.027130954924,402.390179143651,0.3497802,110
371.027130954924,402.390179143651,0.3497802,110
375.855403302103,398.672292245247,0.359062,110
375.855403302103,398.672292245247,0.359062,125
381.433698538163,394.2161015656,0.3639472,127
387.480758079775,389.021607104709,0.3663898,127
394.043458357494,383.378856776635,0.3829995,141
394.043458357494,383.378856776635,0.3829995,141
400.793664357433,377.472426526688,0.3917929,141
400.793664357433,377.472426526688,0.3917929,142
407.590746787927,371.19684438612,0.3932584,157
414.669087801752,365.000366222114,0.3932584,158
421.653675954466,359.014831995605,0.3942355,172
421.653675954466,359.014831995605,0.3942355,172
428.310129093295,353.451185644093,0.394724,172
428.310129093295,353.451185644093,0.394724,173
434.450941496017,348.652211066012,0.3952125,188
439.419843134861,344.644276253548,0.395701,189
443.544969023713,341.453749198889,0.395701,204
443.544969023713,341.453749198889,0.395701,204
446.685689870907,339.186101870785,0.3952125,204
446.685689870907,339.186101870785,0.3952125,205
448.701376384777,337.814966277047,0.3952125,219
449.920163579211,337.182134464553,0.394724,220
450.342051454207,337.182134464553,0.394724,220
450.342051454207,337.182134464553,0.394724,235
450.342051454207,337.182134464553,0.394724,235
450.342051454207,338.36869411298,0.3913043,235
450.342051454207,340.820917386395,0.3800684,235
450.342051454207,338.36869411298,0.3913043,250
450.342051454207,340.820917386395,0.3800684,250
446.404431287576,353.187505722221,0.3996092,266
447.81072420423,348.28305917539,0.3908158,266
449.217017120884,344.090548417615,0.3800684,266
449.217017120884,344.090548417615,0.3800684,266
446.404431287576,353.187505722221,0.3996092,267
447.81072420423,348.28305917539,0.3908158,267
444.857509079257,358.724784081545,0.4074255,282
441.435529648732,379.660969878231,0.4196385,297
442.466811120945,372.277932065798,0.4147533,297
443.544969023713,365.184942167425,0.4123107,297
439.935483870968,395.112613299966,0.4215926,313
440.638630329295,387.28131962035,0.420127,313
440.638630329295,387.28131962035,0.420127,313
439.935483870968,395.112613299966,0.4215926,314
438.810449537645,411.750816370129,0.4279433,329
439.326090273751,403.392162846767,0.4235466,329
439.326090273751,403.392162846767,0.4235466,329
438.810449537645,411.750816370129,0.4279433,330
437.779168065432,443.603350932341,0.4421104,344
438.013550218207,436.220313119907,0.4386908,344
438.107303079318,428.415387432478,0.4362482,344
438.388561662648,420.135837885678,0.4318515,344
438.388561662648,420.135837885678,0.4318515,344
437.779168065432,443.603350932341,0.4421104,360
438.013550218207,436.220313119907,0.4386908,360
438.107303079318,428.415387432478,0.4362482,360
437.404156620991,455.969939268166,0.4489497,375
437.591662343211,450.221716971343,0.4455301,375
437.591662343211,450.221716971343,0.4455301,375
437.404156620991,455.969939268166,0.4489497,376
436.982268745994,464.144016846217,0.4528579,391
437.21665089877,460.610705893124,0.4509038,391
437.21665089877,460.610705893124,0.4509038,391
436.982268745994,464.144016846217,0.4528579,392
436.466628009888,467.96737571337,0.4572545,407
436.701010162664,466.517136143071,0.455789,407
436.701010162664,466.517136143071,0.455789,407
436.466628009888,467.96737571337,0.4572545,408
436.185369426557,468.784783471175,0.4621397,422
436.279122287667,468.600207525864,0.4601856,422
436.279122287667,468.600207525864,0.4601856,422
436.185369426557,468.784783471175,0.4621397,423
435.29471724601,468.784783471175,0.4733757,438
435.997863704337,468.784783471175,0.4655594,438
435.997863704337,468.784783471175,0.4655594,438
435.29471724601,468.784783471175,0.4733757,439
434.169682912687,467.598223822749,0.4948705,454
432.529007843257,465.594256416517,0.5119687,455
