X,Y,Pressure,Time
252,297,0.5,0
252,297,0.5,0
252,291.666666666667,0.5,94
252,295.666666666667,0.5,94
248.666666666667,271,0.5,110
252,279.666666666667,0.5,110
252,286.333333333333,0.5,110
237.333333333333,253.666666666667,0.5,125
243.333333333333,261,0.5,125
230,248.333333333333,0.5,141
219.333333333333,243.666666666667,0.5,156
224,245.666666666667,0.5,156
216,243.666666666667,0.5,172
216,244.333333333333,0.5,172
217.333333333333,243.666666666667,0.5,172
210.666666666667,250.333333333333,0.5,188
212.666666666667,247,0.5,188
210.666666666667,254.333333333333,0.5,203
210.666666666667,257,0.5,203
210.666666666667,259.666666666667,0.5,219
210.666666666667,260.333333333333,0.5,219
214,260.333333333333,0.5,235
218.666666666667,260.333333333333,0.5,235
226.666666666667,259,0.5,250
242,249,0.5,250
259.333333333333,233,0.5,266
283.333333333333,209,0.5,266
305.333333333333,183,0.5,281
329.333333333333,157,0.5,281
355.333333333333,125,0.5,297
384,86.3333333333333,0.5,297
408.666666666667,46.3333333333333,0.5,313
425.333333333333,11.6666666666667,0.5,313
434,-8.33333333333334,0.5,328
436,-16.3333333333333,0.5,328
436,-17.6666666666667,0.5,344
432.666666666667,-11,0.5,360
436,-17,0.5,360
416.666666666667,47.6666666666667,0.5,375
428,7,0.5,375
384,166.333333333333,0.5,391
402.666666666667,101,0.5,391
336.666666666667,315,0.5,406
362.666666666667,231,0.5,406
294,457.666666666667,0.5,422
312,401.666666666667,0.5,422
272,533.666666666667,0.5,438
282,499,0.5,438
259.333333333333,573,0.5,453
264,559,0.5,453
256,580.333333333333,0.5,469
256,579.666666666667,0.5,485
261.333333333333,567.666666666667,0.5,500
276,529,0.5,500
302,469.666666666667,0.5,516
342,395.666666666667,0.5,516
395.333333333333,297,0.5,531
452.666666666667,195,0.5,531
510,109,0.5,531
558.666666666667,33.6666666666667,0.5,547
596,-20.3333333333333,0.5,547
622.666666666667,-51.6666666666667,0.5,563
638.666666666667,-65,0.5,563
646,-73,0.5,578
646,-71.6666666666667,0.5,578
646,-72.3333333333333,0.5,594
624.666666666667,-49,0.5,610
640.666666666667,-66.3333333333333,0.5,610
556,44.3333333333333,0.5,625
594.666666666667,-10.3333333333333,0.5,625
468,166.333333333333,0.5,641
512.666666666667,106.333333333333,0.5,641
390.666666666667,277,0.5,656
425.333333333333,225.666666666667,0.5,656
366,329,0.5,672
372.666666666667,311.666666666667,0.5,672
362.666666666667,337,0.5,688
362.666666666667,340.333333333333,0.5,688
367.333333333333,335,0.5,719
379.333333333333,323,0.5,719
401.333333333333,299.666666666667,0.5,735
430,271,0.5,735
456,247,0.5,750
476,231.666666666667,0.5,750
486.666666666667,223.666666666667,0.5,766
494,219.666666666667,0.5,766
496,219.666666666667,0.5,781
495.333333333333,221,0.5,797
486.666666666667,236.333333333333,0.5,813
492,227.666666666667,0.5,813
472,263.666666666667,0.5,828
480,247.666666666667,0.5,828
456.666666666667,301,0.5,844
463.333333333333,284.333333333333,0.5,844
447.333333333333,328.333333333333,0.5,860
450.666666666667,316.333333333333,0.5,860
447.333333333333,336.333333333333,0.5,875
447.333333333333,340.333333333333,0.5,875
447.333333333333,342.333333333333,0.5,891
450,342.333333333333,0.5,891
451.333333333333,344.333333333333,0.5,891
454,344.333333333333,0.5,906
459.333333333333,340.333333333333,0.5,906
468.666666666667,332.333333333333,0.5,922
478.666666666667,322.333333333333,0.5,922
489.333333333333,309,0.5,938
502,291.666666666667,0.5,938
514.666666666667,275,0.5,953
526.666666666667,256.333333333333,0.5,953
534.666666666667,238.333333333333,0.5,969
540,227,0.5,969
542,220.333333333333,0.5,985
542,221.666666666667,0.5,985
538.666666666667,221,0.5,1000
540.666666666667,220.333333333333,0.5,1000
520.666666666667,245,0.5,1016
532.666666666667,227.666666666667,0.5,1016
492.666666666667,297.666666666667,0.5,1031
505.333333333333,273.666666666667,0.5,1031
482.666666666667,329.666666666667,0.5,1047
486,317,0.5,1047
482.666666666667,336.333333333333,0.5,1063
482.666666666667,338.333333333333,0.5,1063
486,338.333333333333,0.5,1078
491.333333333333,338.333333333333,0.5,1078
502,334.333333333333,0.5,1078
524.666666666667,317,0.5,1094
564.666666666667,283.666666666667,0.5,1094
612,236.333333333333,0.5,1110
660.666666666667,186.333333333333,0.5,1110
706,136.333333333333,0.5,1125
752.666666666667,83.6666666666667,0.5,1125
802,23,0.5,1141
854.666666666667,-47.6666666666667,0.5,1141
890.666666666667,-109,0.5,1156
908,-127,0.5,1156
911.333333333333,-127,0.5,1172
908.666666666667,-127,0.5,1188
910.666666666667,-127,0.5,1188
883.333333333333,-105.666666666667,0.5,1203
900.666666666667,-121,0.5,1203
817.333333333333,-30.3333333333333,0.5,1219
854,-74.3333333333333,0.5,1219
736,96.3333333333333,0.5,1235
779.333333333333,31.6666666666667,0.5,1235
628,298.333333333333,0.5,1250
654.666666666667,240.333333333333,0.5,1250
694.666666666667,168.333333333333,0.5,1250
612.666666666667,352.333333333333,0.5,1266
616,334.333333333333,0.5,1266
612.666666666667,361.666666666667,0.5,1281
612.666666666667,367,0.5,1281
614,369,0.5,1297
616,369,0.5,1313
620,369,0.5,1313
626.666666666667,365.666666666667,0.5,1313
638.666666666667,357.666666666667,0.5,1328
652,347,0.5,1328
666.666666666667,335,0.5,1344
684,320.333333333333,0.5,1344
701.333333333333,306.333333333333,0.5,1360
719.333333333333,289.666666666667,0.5,1360
731.333333333333,278.333333333333,0.5,1375
741.333333333333,268.333333333333,0.5,1375
749.333333333333,261,0.5,1391
754,255,0.5,1391
757.333333333333,248.333333333333,0.5,1406
757.333333333333,250.333333333333,0.5,1406
757.333333333333,247,0.5,1422
754,245.666666666667,0.5,1438
756,245.666666666667,0.5,1438
740,253,0.5,1453
748.666666666667,247.666666666667,0.5,1453
730,261.666666666667,0.5,1469
704.666666666667,289,0.5,1485
718,273.666666666667,0.5,1485
672,338.333333333333,0.5,1500
678,327,0.5,1500
691.333333333333,308.333333333333,0.5,1500
668.666666666667,345.666666666667,0.5,1516
668.666666666667,349.666666666667,0.5,1516
668.666666666667,351.666666666667,0.5,1531
668.666666666667,353,0.5,1531
672.666666666667,353,0.5,1547
676.666666666667,353,0.5,1563
686.666666666667,348.333333333333,0.5,1563
701.333333333333,338.333333333333,0.5,1578
729.333333333333,317.666666666667,0.5,1578
762.666666666667,287.666666666667,0.5,1594
807.333333333333,247,0.5,1594
852.666666666667,201,0.5,1610
891.333333333333,152.333333333333,0.5,1610
926,106.333333333333,0.5,1610
954,55.6666666666667,0.5,1625
972,9,0.5,1625
976,-15,0.5,1641
976,-21.6666666666667,0.5,1656
970,-17.6666666666667,0.5,1672
974,-21.6666666666667,0.5,1672
975.333333333333,-21.6666666666667,0.5,1672
942.666666666667,15.6666666666667,0.5,1688
960.666666666667,-6.33333333333334,0.5,1688
895.333333333333,81.6666666666667,0.5,1703
922,46.3333333333333,0.5,1703
818,193,0.5,1719
859.333333333333,126.333333333333,0.5,1719
759.333333333333,315,0.5,1735
779.333333333333,262.333333333333,0.5,1735
754,343.666666666667,0.5,1750
754,358.333333333333,0.5,1750
758,367.666666666667,0.5,1766
760.666666666667,373.666666666667,0.5,1766
764.666666666667,377.666666666667,0.5,1781
768,379,0.5,1781
773.333333333333,379,0.5,1797
780.666666666667,374.333333333333,0.5,1797
790.666666666667,367,0.5,1797
804,355.666666666667,0.5,1813
822,339.666666666667,0.5,1828
838,321.666666666667,0.5,1828
852.666666666667,304.333333333333,0.5,1844
867.333333333333,287,0.5,1844
874.666666666667,277,0.5,1860
878.666666666667,273,0.5,1860
881.333333333333,273,0.5,1922
884.666666666667,273,0.5,1922
888.666666666667,273,0.5,1938
892.666666666667,273,0.5,1938
896.666666666667,273,0.5,1953
901.333333333333,271.666666666667,0.5,1953
904,271.666666666667,0.5,1969
906.666666666667,270.333333333333,0.5,1969
908.666666666667,267.666666666667,0.5,1985
910,266.333333333333,0.5,2000
912,264.333333333333,0.5,2000
912,261.666666666667,0.5,2016
915.333333333333,259.666666666667,0.5,2016
915.333333333333,258.333333333333,0.5,2031
916,257,0.5,2031
916,258.333333333333,0.5,2031
911.333333333333,259.666666666667,0.5,2063
888,277.666666666667,0.5,2078
901.333333333333,266.333333333333,0.5,2078
864,302.333333333333,0.5,2094
874.666666666667,290.333333333333,0.5,2094
856.666666666667,317,0.5,2110
858.666666666667,311,0.5,2110
856.666666666667,319.666666666667,0.5,2125
859.333333333333,322.333333333333,0.5,2125
866.666666666667,325.666666666667,0.5,2141
879.333333333333,325.666666666667,0.5,2141
902,325.666666666667,0.5,2156
